flight_id,snapshot_id,latitude,longitude,altitude,speed,heading,squawk,radar_id
47716903,2014-03-07 17:21:03,6.97,103.63,35000,471,40,8535,696
47716903,2014-03-07 17:20:35,6.93,103.59,35000,471,40,8535,696
47716903,2014-03-07 17:20:18,6.90314,103.57,35000,472,28,8535,696
47716903,2014-03-07 17:19:28,6.8,103.52,35000,474,25,8535,696
47716903,2014-03-07 17:19:17,6.78333,103.512,35000,473,25,8535,696
47716903,2014-03-07 17:18:39,6.68,103.46,35000,473,25,8535,696
47716903,2014-03-07 17:17:39,6.58,103.41,35000,473,25,8535,696
47716903,2014-03-07 17:17:04,6.5197,103.386,35000,473,25,8535,696
47716903,2014-03-07 17:16:02,6.39583,103.328,35000,472,25,8535,696
47716903,2014-03-07 17:15:01,6.27365,103.27,35000,472,25,8535,696
