Time (UTC),BTO (µS),Path (km),Transmission Delay (µs),Bias (µs),Predicted Path (km),Error (km)
16:00:13,14820,153037,510478,-495658,153044,-6.3
16:00:17,14740,153037,510478,-495738,153020,17.7
16:00:18,14780,153037,510478,-495698,153032,5.7
16:00:18,14820,153037,510478,-495658,153044,-6.3
16:00:23,14740,153037,510478,-495738,153020,17.7
16:00:23,14820,153037,510478,-495658,153044,-6.3
16:00:32,14820,153037,510478,-495658,153044,-6.3
16:09:37,14840,153048,510514,-495674,153050,-1.7
16:09:47,14840,153048,510514,-495674,153050,-1.7
16:11:04,14840,153048,510514,-495674,153050,-1.7
16:11:13,14860,153048,510514,-495654,153056,-7.7
16:27:59,14920,153068,510581,-495661,153074,-5.5
16:28:16,14860,153068,510581,-495721,153056,12.5
16:29:17,14860,153068,510581,-495721,153056,12.5
16:29:42,14920,153068,510581,-495661,153074,-5.5
16:29:50,14940,153068,510581,-495641,153080,-11.5
16:29:52,14920,153068,510581,-495661,153074,-5.5
,,,Average:,-495679,,
